STATE,STATE_AB,COUNTY,Internal_State_Region,TVDMA,Metropolitan_Statistical_Areas,Metro_Grp
NORTH DAKOTA,ND,RICHLAND,The Valley ISR," Fargo - Valley City, ND - MN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NORTH DAKOTA,ND,ROLETTE,The Lakes and Gardens ISR," Minot - Bismarck - Dickinson, ND - MT - SD DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NORTH DAKOTA,ND,SARGENT,The Coteaus and Prairies ISR," Fargo - Valley City, ND - MN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NORTH DAKOTA,ND,SHERIDAN,The Lakes and Gardens ISR," Minot - Bismarck - Dickinson, ND - MT - SD DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NORTH DAKOTA,ND,SIOUX,The West ISR," Minot - Bismarck - Dickinson, ND - MT - SD DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NORTH DAKOTA,ND,SLOPE,The West ISR," Minot - Bismarck - Dickinson, ND - MT - SD DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NORTH DAKOTA,ND,STARK,The West ISR," Minot - Bismarck - Dickinson, ND - MT - SD DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NORTH DAKOTA,ND,STEELE,The Valley ISR," Fargo - Valley City, ND - MN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NORTH DAKOTA,ND,STUTSMAN,The Coteaus and Prairies ISR," Fargo - Valley City, ND - MN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NORTH DAKOTA,ND,TOWNER,The Lakes and Gardens ISR," Fargo - Valley City, ND - MN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NORTH DAKOTA,ND,TRAILL,The Valley ISR," Fargo - Valley City, ND - MN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NORTH DAKOTA,ND,WALSH,The Valley ISR," Fargo - Valley City, ND - MN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NORTH DAKOTA,ND,WARD,The Lakes and Gardens ISR," Minot - Bismarck - Dickinson, ND - MT - SD DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NORTH DAKOTA,ND,WELLS,The Lakes and Gardens ISR," Minot - Bismarck - Dickinson, ND - MT - SD DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
