STATE,STATE_AB,COUNTY,Internal_State_Region,TVDMA,Metropolitan_Statistical_Areas,Metro_Grp
WEST VIRGINIA,WV,RALEIGH,New River/Greenbrier Valley ISR," Bluefield - Beckley - Oak Hill, WV - VA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WEST VIRGINIA,WV,RANDOLPH,Potomac Highlands ISR," Clarksburg - Weston, WV DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WEST VIRGINIA,WV,RITCHIE,Mid-Ohio Valley ISR," Clarksburg - Weston, WV DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WEST VIRGINIA,WV,ROANE,Mid-Ohio Valley ISR," Charleston - Huntington, WV - KY - OH DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WEST VIRGINIA,WV,SUMMERS,New River/Greenbrier Valley ISR," Bluefield - Beckley - Oak Hill, WV - VA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WEST VIRGINIA,WV,TAYLOR,Mountaineer Country ISR," Clarksburg - Weston, WV DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WEST VIRGINIA,WV,TUCKER,Potomac Highlands ISR," Clarksburg - Weston, WV DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WEST VIRGINIA,WV,TYLER,Northern Panhandle ISR," Wheeling - Steubenville, WV - OH DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WEST VIRGINIA,WV,UPSHUR,Mountain Lakes ISR," Clarksburg - Weston, WV DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WEST VIRGINIA,WV,WAYNE,Metro Valley ISR," Charleston - Huntington, WV - KY - OH DMA"," Huntington - Ashland, WV - KY - OH MSA", Other Metro GMR.
WEST VIRGINIA,WV,WEBSTER,Mountain Lakes ISR," Clarksburg - Weston, WV DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WEST VIRGINIA,WV,WETZEL,Northern Panhandle ISR," Wheeling - Steubenville, WV - OH DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WEST VIRGINIA,WV,WIRT,Mid-Ohio Valley ISR," Charleston - Huntington, WV - KY - OH DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WEST VIRGINIA,WV,WOOD,Mid-Ohio Valley ISR," Parkersburg, WV - OH DMA"," Parkersburg - Marietta, WV - OH MSA", Other Metro GMR.
WEST VIRGINIA,WV,WYOMING,New River/Greenbrier Valley ISR," Bluefield - Beckley - Oak Hill, WV - VA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
