STATE,STATE_AB,COUNTY,Internal_State_Region,TVDMA,Metropolitan_Statistical_Areas,Metro_Grp
COLORADO,CO,PITKIN,Northwest ISR," Denver, CO - NE - NV - WY DMA", Not Assigned to Metro Area (NAM),  GMR.
COLORADO,CO,PROWERS,Southeast ISR," Denver, CO - NE - NV - WY DMA", Not Assigned to Metro Area (NAM),  GMR.
COLORADO,CO,PUEBLO,Southeast ISR," Colorado Springs - Pueblo, CO DMA"," Pueblo, CO MSA",  GMR.
COLORADO,CO,RIO BLANCO,Northwest ISR," Denver, CO - NE - NV - WY DMA", Not Assigned to Metro Area (NAM),  GMR.
COLORADO,CO,RIO GRANDE,South Central ISR," Denver, CO - NE - NV - WY DMA", Not Assigned to Metro Area (NAM),  GMR.
COLORADO,CO,ROUTT,Northwest ISR," Denver, CO - NE - NV - WY DMA", Not Assigned to Metro Area (NAM),  GMR.
COLORADO,CO,SAGUACHE,South Central ISR," Denver, CO - NE - NV - WY DMA", Not Assigned to Metro Area (NAM),  GMR.
COLORADO,CO,SAN JUAN,Southwest ISR," Denver, CO - NE - NV - WY DMA", Not Assigned to Metro Area (NAM),  GMR.
COLORADO,CO,SAN MIGUEL,Southwest ISR," Denver, CO - NE - NV - WY DMA", Not Assigned to Metro Area (NAM),  GMR.
COLORADO,CO,SEDGWICK,Northeast ISR," Denver, CO - NE - NV - WY DMA", Not Assigned to Metro Area (NAM),  GMR.
COLORADO,CO,SUMMIT,Northwest ISR," Denver, CO - NE - NV - WY DMA", Not Assigned to Metro Area (NAM),  GMR.
COLORADO,CO,TELLER,South Central ISR," Colorado Springs - Pueblo, CO DMA", Not Assigned to Metro Area (NAM),  GMR.
COLORADO,CO,WASHINGTON,Northeast ISR," Denver, CO - NE - NV - WY DMA", Not Assigned to Metro Area (NAM),  GMR.
COLORADO,CO,WELD,Northeast ISR," Denver, CO - NE - NV - WY DMA"," Greeley, CO PMSA",  GMR.
COLORADO,CO,YUMA,Northeast ISR," Denver, CO - NE - NV - WY DMA", Not Assigned to Metro Area (NAM),  GMR.
