STATE,STATE_AB,COUNTY,TVDMA,STATEFP,COUNTYFP,COUNTY_PROPER,,,
ALABAMA,AL,LAWRENCE," Huntsville - Decatur - Florence, AL - TN DMA",01,079,Lawrence,,,
ALABAMA,AL,LEE," Columbus, GA - AL DMA",01,081,Lee,,,
ALABAMA,AL,LIMESTONE," Huntsville - Decatur - Florence, AL - TN DMA",01,083,Limestone,,,
ALABAMA,AL,LOWNDES," Montgomery, AL DMA",01,085,Lowndes,,,
ALABAMA,AL,MACON," Montgomery, AL DMA",01,087,Macon,,,
ALABAMA,AL,MADISON," Huntsville - Decatur - Florence, AL - TN DMA",01,089,Madison,,,
ALABAMA,AL,MARENGO," Montgomery, AL DMA",01,091,Marengo,,,
ALABAMA,AL,MARION," Birmingham, AL DMA",01,093,Marion,,,
ALABAMA,AL,MARSHALL," Huntsville - Decatur - Florence, AL - TN DMA",01,095,Marshall,,,
ALABAMA,AL,MOBILE," Mobile, AL - Pensacola, FL - MS DMA",01,097,Mobile,,,
ALABAMA,AL,MONROE," Mobile, AL - Pensacola, FL - MS DMA",01,099,Monroe,,,
ALABAMA,AL,MONTGOMERY," Montgomery, AL DMA",01,101,Montgomery,,,
ALABAMA,AL,MORGAN," Huntsville - Decatur - Florence, AL - TN DMA",01,103,Morgan,,,
ALABAMA,AL,PERRY," Montgomery, AL DMA",01,105,Perry,,,
ALABAMA,AL,PICKENS," Birmingham, AL DMA",01,107,Pickens,,,
ALABAMA,AL,PIKE," Montgomery, AL DMA",01,109,Pike,,,
ALABAMA,AL,RANDOLPH," Atlanta, GA - AL - NC DMA",01,111,Randolph,,,
ALABAMA,AL,RUSSELL," Columbus, GA - AL DMA",01,113,Russell,,,
ALABAMA,AL,SHELBY," Birmingham, AL DMA",01,117,Shelby,,,
ALABAMA,AL,SUMTER," Meridian, MS - AL DMA",01,119,Sumter,,,
ALABAMA,AL,TALLADEGA," Birmingham, AL DMA",01,121,Talladega,,,
ALABAMA,AL,TALLAPOOSA," Montgomery, AL DMA",01,123,Tallapoosa,,,
ALABAMA,AL,TUSCALOOSA," Birmingham, AL DMA",01,125,Tuscaloosa,,,
ALABAMA,AL,WALKER," Birmingham, AL DMA",01,127,Walker,,,
ALABAMA,AL,WASHINGTON," Mobile, AL - Pensacola, FL - MS DMA",01,129,Washington,,,
ALABAMA,AL,WILCOX," Montgomery, AL DMA",01,131,Wilcox,,,
ALABAMA,AL,WINSTON," Birmingham, AL DMA",01,133,Winston,,,
ALABAMA,AL,DE KALB," Huntsville - Decatur - Florence, AL - TN DMA",01,049,DeKalb,,,
ALABAMA,AL,ST CLAIR," Birmingham, AL DMA",01,115,St. Clair,,,
ARKANSAS,AR,ARKANSAS," Little Rock - Pine Bluff, AR DMA",05,001,Arkansas,,,
ARKANSAS,AR,ASHLEY," Monroe - El Dorado, LA - AR DMA",05,003,Ashley,,,
ARKANSAS,AR,BAXTER," Springfield, MO - AR DMA",05,005,Baxter,,,
ARKANSAS,AR,BENTON," Ft. Smith - Fay - Springdale - Rogers, AR - OK DMA",05,007,Benton,,,
ARKANSAS,AR,BOONE," Springfield, MO - AR DMA",05,009,Boone,,,
ARKANSAS,AR,BRADLEY," Little Rock - Pine Bluff, AR DMA",05,011,Bradley,,,
ARKANSAS,AR,CALHOUN," Little Rock - Pine Bluff, AR DMA",05,013,Calhoun,,,
ARKANSAS,AR,CARROLL," Springfield, MO - AR DMA",05,015,Carroll,,,
ARKANSAS,AR,CHICOT," Greenwood - Greenville, MS DMA",05,017,Chicot,,,
ARKANSAS,AR,CLARK," Little Rock - Pine Bluff, AR DMA",05,019,Clark,,,
ARKANSAS,AR,CLAY," Jonesboro, AR - MO DMA",05,021,Clay,,,
ARKANSAS,AR,CLEBURNE," Little Rock - Pine Bluff, AR DMA",05,023,Cleburne,,,
ARKANSAS,AR,CLEVELAND," Little Rock - Pine Bluff, AR DMA",05,025,Cleveland,,,
ARKANSAS,AR,COLUMBIA," Shreveport, LA - AR - OK - TX DMA",05,027,Columbia,,,
ARKANSAS,AR,CONWAY," Little Rock - Pine Bluff, AR DMA",05,029,Conway,,,
ARKANSAS,AR,CRAIGHEAD," Jonesboro, AR - MO DMA",05,031,Craighead,,,
ARKANSAS,AR,CRAWFORD," Ft. Smith - Fay - Springdale - Rogers, AR - OK DMA",05,033,Crawford,,,
ARKANSAS,AR,CRITTENDEN," Memphis, TN - AR- MS - MO DMA",05,035,Crittenden,,,
ARKANSAS,AR,CROSS," Memphis, TN - AR- MS - MO DMA",05,037,Cross,,,
ARKANSAS,AR,DALLAS," Little Rock - Pine Bluff, AR DMA",05,039,Dallas,,,
ARKANSAS,AR,DESHA," Little Rock - Pine Bluff, AR DMA",05,041,Desha,,,
ARKANSAS,AR,DREW," Little Rock - Pine Bluff, AR DMA",05,043,Drew,,,
ARKANSAS,AR,FAULKNER," Little Rock - Pine Bluff, AR DMA",05,045,Faulkner,,,
